Date,Q
2017-06-21,2980.98
2017-06-22,2874.75
2017-06-23,3284.10
2017-06-24,3365.53
2017-06-25,3317.33
2017-06-26,3670.98
2017-06-27,3726.44
2017-06-28,3532.84
2017-06-29,3920.44
2017-06-30,3888.94
2017-07-01,3736.61
2017-07-02,4240.60
2017-07-03,4250.26
2017-07-04,4212.41
2017-07-05,4610.87
2017-07-06,4726.23
2017-07-07,4599.44
2017-07-08,4958.36
2017-07-09,5241.31
2017-07-10,4935.10
2017-07-11,5348.90
2017-07-12,5383.30
2017-07-13,6143.49
2017-07-14,5129.35
2017-07-15,5997.22
2017-07-16,5846.47
2017-07-17,6050.42
2017-07-18,6818.17
2017-07-19,6370.48
2017-07-20,7252.64
2017-07-21,6524.62
2017-07-22,6943.44
2017-07-23,6805.75
2017-07-24,6885.13
2017-07-25,7309.82
2017-07-26,7338.64
2017-07-27,7678.55
2017-07-28,6943.48
2017-07-29,8712.68
2017-07-30,8012.42
2017-07-31,8958.73
2017-08-01,7978.69
2017-08-02,8688.50
2017-08-03,10105.62
2017-08-04,8500.22
2017-08-05,8371.85
2017-08-06,8958.16
2017-08-07,9592.35
2017-08-08,9862.06
2017-08-09,10316.96
2017-08-10,9724.36
2017-08-11,9207.45
2017-08-12,9945.51
2017-08-13,10962.90
2017-08-14,10721.50
2017-08-15,9590.63
2017-08-16,10763.56
2017-08-17,11696.55
2017-08-18,12258.30
2017-08-19,11541.23
2017-08-20,11545.32
2017-08-21,10796.86
2017-08-22,11158.08
2017-08-23,11812.78
2017-08-24,12218.07
2017-08-25,12397.81
2017-08-26,11884.15
2017-08-27,11590.59
2017-08-28,11936.31
2017-08-29,11810.86
2017-08-30,13056.10
2017-08-31,11283.43
2017-09-01,12649.53
2017-09-02,13256.90
2017-09-03,14056.53
2017-09-04,13202.31
2017-09-05,13907.03
2017-09-06,13062.17
2017-09-07,12908.55
2017-09-08,13027.80
2017-09-09,14587.46
2017-09-10,14294.68
2017-09-11,14011.36
2017-09-12,16020.13
2017-09-13,13761.30
2017-09-14,14257.64
2017-09-15,14081.95
2017-09-16,13749.13
2017-09-17,15546.37
2017-09-18,15008.35
2017-09-19,12997.84
2017-09-20,13709.55
2017-09-21,14297.08
2017-09-22,14548.23
2017-09-23,13053.58
2017-09-24,12411.55
2017-09-25,12643.63
2017-09-26,13907.34
2017-09-27,13860.93
2017-09-28,14143.36
2017-09-29,13334.94
2017-09-30,12982.23
2017-10-01,12389.35
2017-10-02,13959.38
2017-10-03,13931.11
2017-10-04,14293.84
2017-10-05,14088.36
2017-10-06,13353.86
2017-10-07,14312.10
2017-10-08,13237.20
2017-10-09,12806.38
2017-10-10,12812.99
2017-10-11,12680.52
2017-10-12,11561.29
2017-10-13,12964.44
2017-10-14,12917.90
2017-10-15,12420.05
2017-10-16,12088.62
2017-10-17,12650.16
2017-10-18,13354.76
2017-10-19,12198.55
2017-10-20,11742.49
2017-10-21,11565.76
2017-10-22,11744.03
2017-10-23,10912.56
2017-10-24,11438.54
2017-10-25,11404.27
2017-10-26,12261.37
2017-10-27,11602.86
2017-10-28,11497.50
2017-10-29,10398.09
2017-10-30,10986.92
2017-10-31,9880.65
2017-11-01,10483.79
2017-11-02,10379.51
2017-11-03,9625.77
2017-11-04,10835.74
2017-11-05,9966.61
2017-11-06,8624.82
2017-11-07,9630.00
2017-11-08,9022.21
2017-11-09,9048.97
2017-11-10,9093.62
2017-11-11,8895.29
2017-11-12,7690.16
2017-11-13,7915.17
2017-11-14,8558.94
2017-11-15,8605.56
2017-11-16,8673.35
2017-11-17,8459.91
2017-11-18,6820.32
2017-11-19,7730.21
2017-11-20,6588.85
2017-11-21,7706.77
2017-11-22,7065.36
2017-11-23,6434.49
2017-11-24,7342.64
2017-11-25,6731.88
2017-11-26,5770.58
2017-11-27,6317.55
2017-11-28,5858.59
2017-11-29,5970.42
2017-11-30,5660.93
2017-12-01,6044.43
2017-12-02,5125.56
2017-12-03,5467.98
2017-12-04,5725.07
2017-12-05,4905.86
2017-12-06,5040.68
2017-12-07,4910.15
2017-12-08,4572.88
2017-12-09,4763.10
2017-12-10,4515.19
2017-12-11,4168.99
2017-12-12,4635.19
2017-12-13,4310.82
2017-12-14,4002.15
2017-12-15,3802.42
2017-12-16,3671.55
2017-12-17,3946.62
2017-12-18,3590.09
2017-12-19,3598.57
2017-12-20,3389.79
2017-12-21,3429.86
2017-12-22,3216.89
2017-12-23,3266.54
2017-12-24,3031.41
2017-12-25,3098.23
2017-12-26,2989.79
2017-12-27,2796.15
2017-12-28,2617.25
2017-12-29,2534.33
2017-12-30,2490.28
2017-12-31,2391.18
