# River BC - FIXED Dec 2025. CH4/N2O in umol/L
time_s,salinity,phy1,phy2,dsi,no3,nh4,po4,o2,toc,spm,dic,at,pco2,co2,ph,hs,n2o,ch4
2246400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
2332800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
2419200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
2505600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
2592000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
2678400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
2764800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
2851200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
2937600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
3024000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
3110400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
3196800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
3283200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
3369600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
3456000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
3542400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
3628800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
3715200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
3801600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
3888000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
3974400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
4060800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
4147200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
4233600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
4320000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
4406400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
4492800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
4579200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
4665600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
4752000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
4838400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
4924800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
5011200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
5097600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
5184000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
5270400.000000,0.100000,3.200000,1.800000,48.000000,11.000000,2.500000,1.200000,170.000000,155.000000,16.000000,1480.000000,1370.000000,4200.000000,0.000000,7.420000,0.000000,0.035000,0.125000
5356800.000000,0.100000,2.800000,2.200000,52.000000,9.000000,1.800000,0.900000,180.000000,145.000000,14.000000,1420.000000,1330.000000,3800.000000,0.000000,7.480000,0.000000,0.035000,0.125000
5443200.000000,0.100000,3.500000,2.000000,55.000000,12.000000,3.000000,1.100000,168.000000,160.000000,18.000000,1500.000000,1380.000000,4400.000000,0.000000,7.400000,0.000000,0.035000,0.125000
5529600.000000,0.100000,2.500000,1.500000,45.000000,8.000000,1.500000,0.800000,185.000000,140.000000,12.000000,1400.000000,1320.000000,3600.000000,0.000000,7.500000,0.000000,0.035000,0.125000
5616000.000000,0.100000,3.000000,2.000000,50.000000,10.000000,2.000000,1.000000,175.000000,150.000000,15.000000,1450.000000,1350.000000,4000.000000,0.000000,7.450000,0.000000,0.035000,0.125000
